[33m[nodemon] 3.1.14[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): *.*[39m
[33m[nodemon] watching extensions: js,mjs,cjs,json[39m
[32m[nodemon] starting `node src/server.js`[39m
◇ injected env (2) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
🚀 Server running on port 5000
⚡ Client connected: FwNTmTlfAEWYOgQ0AAAB
❌ Client disconnected: FwNTmTlfAEWYOgQ0AAAB
⚡ Client connected: toItfm3r6a0dEbI7AAAD
❌ Client disconnected: toItfm3r6a0dEbI7AAAD
⚡ Client connected: um7sqwOcmHjKTTIEAAAF
❌ Client disconnected: um7sqwOcmHjKTTIEAAAF
⚡ Client connected: bCdx9rGe9LsjlH1IAAAH
❌ Client disconnected: bCdx9rGe9LsjlH1IAAAH
⚡ Client connected: gglq__0dcrBipRhyAAAJ
❌ Client disconnected: gglq__0dcrBipRhyAAAJ
⚡ Client connected: whc6dRMQ7oVTMFS7AAAL
❌ Client disconnected: whc6dRMQ7oVTMFS7AAAL
✅ MongoDB connected
⚡ Client connected: vkNk4zu7IJCNVls3AAAN
❌ Client disconnected: vkNk4zu7IJCNVls3AAAN
⚡ Client connected: 6SR_sGbEG9te3ZfbAAAP
❌ Client disconnected: 6SR_sGbEG9te3ZfbAAAP
⚡ Client connected: SDwgqt4ILLJfgD1sAAAR
❌ Client disconnected: SDwgqt4ILLJfgD1sAAAR
⚡ Client connected: 6eskQ5QvhWo3UVnRAAAT
❌ Client disconnected: 6eskQ5QvhWo3UVnRAAAT
⚡ Client connected: K5Q6V6T_MzsguDIZAAAV
❌ Client disconnected: K5Q6V6T_MzsguDIZAAAV
⚡ Client connected: F7zy9Wj9jMtTU5brAAAX
⚡ Client connected: SSnMe2tVmjGg3jH3AAAZ
❌ Client disconnected: SSnMe2tVmjGg3jH3AAAZ
⚡ Client connected: PsbjqRShV2GVvk_4AAAb
⚡ Client connected: ZbwZHFvGjsaqPLZRAAAd
⚡ Client connected: 46I3vFBA3KhRv2nXAAAf
⚡ Client connected: sjxbsIJxmYJI_AZfAAAh
❌ Client disconnected: sjxbsIJxmYJI_AZfAAAh
⚡ Client connected: o0H0PDUveUwRxoYGAAAj
⚡ Client connected: Xq4dAoGMITlIE0quAAAl
❌ Client disconnected: Xq4dAoGMITlIE0quAAAl
⚡ Client connected: -CEIlhEKnGhKXIyFAAAn
⚡ Client connected: 0ggOoCYkq2PG-6csAAAp
❌ Client disconnected: 0ggOoCYkq2PG-6csAAAp
⚡ Client connected: pbp72t2g2QaDKjYUAAAr
❌ Client disconnected: pbp72t2g2QaDKjYUAAAr
⚡ Client connected: _nNqWUqGcBbZKQkvAAAt
⚡ Client connected: G_nPrCzkQn7ZhbKIAAAv
⚡ Client connected: 8wW2Qvn30N4f3KNcAAAx
❌ Client disconnected: 8wW2Qvn30N4f3KNcAAAx
⚡ Client connected: hittOfxq631mwTdwAAAz
❌ Client disconnected: hittOfxq631mwTdwAAAz
⚡ Client connected: CzijZdeFL8GOvbkLAAA1
⚡ Client connected: 8gttydvyZZLsS_VFAAA3
❌ Client disconnected: 8gttydvyZZLsS_VFAAA3
⚡ Client connected: 4JOmhtSPr3rVBX7XAAA5
⚡ Client connected: hyLwqhPfVHGzt7SdAAA7
❌ Client disconnected: hyLwqhPfVHGzt7SdAAA7
⚡ Client connected: 0Zk1lAfDrInBv_FJAAA9
❌ Client disconnected: 0Zk1lAfDrInBv_FJAAA9
⚡ Client connected: Do0MVOUpCGXRUOzZAAA_
❌ Client disconnected: Do0MVOUpCGXRUOzZAAA_
⚡ Client connected: Hdyge1u-eYo-iThEAABB
⚡ Client connected: 6npdjtUpzxbczjQgAABD
❌ Client disconnected: 6npdjtUpzxbczjQgAABD
⚡ Client connected: I7t5GuLXasn2PQf5AABF
❌ Client disconnected: I7t5GuLXasn2PQf5AABF
⚡ Client connected: G3FRrCYUf6RitzV_AABH
⚡ Client connected: RoY6IS5_Ta1nR-jGAABJ
⚡ Client connected: ZVWvyqPMkFwUF05uAABL
❌ Client disconnected: ZVWvyqPMkFwUF05uAABL
⚡ Client connected: WeWH8qWv05nWG_mIAABN
❌ Client disconnected: WeWH8qWv05nWG_mIAABN
⚡ Client connected: GPiunHeOSLC7jqsCAABP
❌ Client disconnected: GPiunHeOSLC7jqsCAABP
⚡ Client connected: E7NTkep1fgRZZtE7AABR
❌ Client disconnected: E7NTkep1fgRZZtE7AABR
⚡ Client connected: -gNMkFlwFJOrujbkAABT
❌ Client disconnected: -gNMkFlwFJOrujbkAABT
⚡ Client connected: yxH_DIlC6QIOpYAYAABV
⚡ Client connected: qn-YH6rsTn3I1EPJAABX
⚡ Client connected: 7jvTPs4pbNs8KxCGAABZ
⚡ Client connected: wadkWNurYHohUgBPAABb
⚡ Client connected: nUDQRNx5YBbzPPngAABd
❌ Client disconnected: nUDQRNx5YBbzPPngAABd
⚡ Client connected: LUOxdfy-o3VoQfxQAABf
❌ Client disconnected: LUOxdfy-o3VoQfxQAABf
⚡ Client connected: tiSyXGNMRSbZv1RLAABh
❌ Client disconnected: tiSyXGNMRSbZv1RLAABh
⚡ Client connected: KduW7R2NntGvce85AABj
⚡ Client connected: j-OZirvaiZmi_bKKAABl
⚡ Client connected: COSowUGhMS7zILJaAABn
⚡ Client connected: bwsqS9BjiXNoI36LAABp
⚡ Client connected: WdH39UUedYhSCjMvAABr
⚡ Client connected: g3EZZIUOw6Jdc864AABt
⚡ Client connected: 6slA5BQPdhu3AkHrAABv
❌ Client disconnected: 6slA5BQPdhu3AkHrAABv
⚡ Client connected: IGwSHjeWcc5OCU4tAABx
❌ Client disconnected: IGwSHjeWcc5OCU4tAABx
⚡ Client connected: LNbs7GMqH_JGudQiAABz
❌ Client disconnected: F7zy9Wj9jMtTU5brAAAX
❌ Client disconnected: PsbjqRShV2GVvk_4AAAb
❌ Client disconnected: ZbwZHFvGjsaqPLZRAAAd
❌ Client disconnected: 46I3vFBA3KhRv2nXAAAf
❌ Client disconnected: LNbs7GMqH_JGudQiAABz
⚡ Client connected: MEGug5MfenAzrvnUAAB1
⚡ Client connected: X3l8YRUV5oFkMsq2AAB3
❌ Client disconnected: X3l8YRUV5oFkMsq2AAB3
⚡ Client connected: eEvdRz2CiBmKDH3HAAB5
❌ Client disconnected: eEvdRz2CiBmKDH3HAAB5
⚡ Client connected: Vykr4LvP3VaBlKR_AAB7
❌ Client disconnected: Vykr4LvP3VaBlKR_AAB7
⚡ Client connected: 7RZ6B66H7YR_w6w9AAB9
⚡ Client connected: sTc7tJFA89C0nrzrAAB_
❌ Client disconnected: sTc7tJFA89C0nrzrAAB_
⚡ Client connected: 9KiLFEzBptoitL8bAACB
⚡ Client connected: hVHjrZiZUeaasvt1AACD
⚡ Client connected: 8qBna8I1DTHE9AxxAACF
❌ Client disconnected: 8qBna8I1DTHE9AxxAACF
⚡ Client connected: L2opNUEy6AsWOEmbAACH
❌ Client disconnected: o0H0PDUveUwRxoYGAAAj
❌ Client disconnected: -CEIlhEKnGhKXIyFAAAn
❌ Client disconnected: _nNqWUqGcBbZKQkvAAAt
❌ Client disconnected: G_nPrCzkQn7ZhbKIAAAv
❌ Client disconnected: CzijZdeFL8GOvbkLAAA1
⚡ Client connected: 5sVNyXBIsrPj9E-kAACJ
❌ Client disconnected: 5sVNyXBIsrPj9E-kAACJ
⚡ Client connected: oHNCh1EiBoudR8bmAACL
❌ Client disconnected: oHNCh1EiBoudR8bmAACL
⚡ Client connected: f_ou2VY3HfMBJmYGAACN
❌ Client disconnected: f_ou2VY3HfMBJmYGAACN
⚡ Client connected: XC5neXE1b_f9Otq9AACP
❌ Client disconnected: 4JOmhtSPr3rVBX7XAAA5
⚡ Client connected: yFIdg6D4CGjOEr3AAACR
❌ Client disconnected: yFIdg6D4CGjOEr3AAACR
